gender,mem_year,mem_month,mem_day,total_spending,total_reward,total_offer_completed_bogo,total_offer_completed_discount,total_offer_completed_informational,average_offer_difficulty_bogo,average_offer_difficulty_discount,average_offer_difficulty_informational,average_offer_duration_bogo,average_offer_duration_discount,average_offer_duration_informational,total_email_offers_bogo,total_email_offers_discount,total_email_offers_informational,total_mobile_offers_bogo,total_mobile_offers_discount,total_mobile_offers_informational,total_offer_received_bogo,total_offer_received_discount,total_offer_received_informational,total_reward_earned_bogo,total_reward_earned_discount,total_reward_earned_informational,total_social_offers_bogo,total_social_offers_discount,total_social_offers_informational,total_spent_on_offer_bogo,total_spent_on_offer_discount,total_spent_on_offer_informational,total_offer_viewed_bogo,total_offer_viewed_discount,total_offer_viewed_informational,total_web_offers_bogo,total_web_offers_discount,total_web_offers_informational,total_offer_received,total_offer_viewed,total_offer_completed,total_email_offers,total_web_offers,total_social_offers,total_mobile_offers,total_reward_earned,total_spent_on_offer,average_offer_difficulty,average_offer_duration,age,income,p_id
1,2017,2,12,20.4,5.0,0.0,2.0,0.0,0.0,11.75,0.0,0.0,8.5,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,37.57,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,37.57,11.75,8.5,51.12317029632275,56466.49484536082,6961
1,2018,7,12,14.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.14,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.14,2.5,5.0,51.12317029632275,70487.2833306334,3746
1,2017,8,4,4.65,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,3.5,0.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.3000000000000003,0.0,0.0,4.0,1.0,0.0,4.0,2.0,6.0,5.0,0.0,6.0,6.0,6.0,6.0,0.0,2.3000000000000003,13.333333333333336,7.833333333333332,51.12317029632275,60172.494172494175,10735
1,2017,9,25,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,5.0,9.25,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,8.333333333333334,7.666666666666668,51.12317029632275,59217.46031746032,9524
1,2017,10,2,0.24,0.0,0.0,0.0,0.0,8.333333333333334,8.5,0.0,6.333333333333332,7.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.05,0.19,0.0,2.0,2.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,5.0,5.0,5.0,5.0,0.0,0.24,8.4,6.6,51.12317029632275,58648.20056611403,6939
1,2016,11,22,15.62,5.0,1.0,0.0,0.0,6.666666666666668,0.0,0.0,5.666666666666668,0.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,13.35,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,5.0,13.35,5.0,5.0,51.12317029632275,59996.39855942377,9146
1,2017,8,24,66.41,10.0,1.0,0.0,0.0,10.0,7.0,0.0,7.0,7.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,59.88,7.290000000000001,0.0,1.0,3.0,0.0,1.0,3.0,0.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,10.0,67.17,7.75,7.0,51.44983582634075,58648.20056611403,13108
1,2015,9,19,17.11,3.0,0.0,1.0,0.0,7.5,7.0,0.0,6.0,7.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,5.11,10.54,0.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,15.65,7.333333333333332,6.333333333333332,51.12317029632275,58648.20056611403,1340
1,2017,8,1,4.0,0.0,0.0,0.0,0.0,10.0,13.5,0.0,6.0,8.5,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.55,1.71,0.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,2.26,9.4,6.4,51.12317029632275,58648.20056611403,7718
1,2017,9,7,9.82,0.0,0.0,0.0,0.0,10.0,16.75,0.0,5.0,9.25,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,2.32,2.32,2.31,1.0,4.0,1.0,1.0,4.0,1.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,6.9499999999999975,12.833333333333336,7.666666666666668,51.12317029632275,58648.20056611403,2779
1,2017,3,30,31.91,2.0,0.0,1.0,0.0,7.5,13.333333333333336,0.0,7.0,9.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,27.57,15.489999999999998,0.0,2.0,2.0,0.0,2.0,3.0,0.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,43.06,11.0,8.2,51.12317029632275,59217.46031746032,6732
1,2016,7,7,21.82,7.0,1.0,1.0,0.0,7.5,10.0,0.0,6.0,7.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,1.0,10.78,11.04,1.22,1.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,7.0,23.04,6.25,5.5,49.87301587301587,59996.39855942377,5050
1,2018,1,13,12.000000000000002,5.0,1.0,0.0,0.0,7.5,9.0,0.0,5.0,8.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,2.0,3.0,1.0,10.410000000000002,8.46,0.0,2.0,2.0,1.0,2.0,3.0,1.0,6.0,5.0,1.0,6.0,6.0,6.0,6.0,5.0,18.87,7.0,6.166666666666668,47.95221112696149,55956.395348837206,2431
1,2014,11,11,7.31,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.21,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,12.21,20.0,10.0,51.12317029632275,58648.20056611403,6070
1,2017,5,11,51.71,2.0,0.0,1.0,0.0,5.0,18.0,0.0,5.0,10.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,7.65,78.96000000000002,0.0,1.0,5.0,0.0,1.0,5.0,0.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,2.0,86.61,15.833333333333336,9.166666666666666,51.12317029632275,59678.94736842105,9315
1,2017,5,28,20.98,10.0,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,17.33,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,17.33,5.0,6.0,54.957358294331776,70487.2833306334,8605
1,2017,10,13,16.930000000000003,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,7.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.23,3.47,0.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,12.7,5.666666666666668,6.0,51.12317029632275,60662.12871287129,126
1,2015,12,20,20.630000000000006,5.0,1.0,0.0,0.0,8.75,0.0,0.0,7.0,0.0,3.5,4.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,2.0,26.61,0.0,3.08,3.0,0.0,1.0,4.0,0.0,2.0,6.0,4.0,1.0,6.0,6.0,6.0,6.0,5.0,29.69,5.833333333333332,5.833333333333332,51.12317029632275,58648.20056611403,5044
1,2017,9,18,23.160000000000004,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,3.5,0.0,3.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,21.8,0.0,0.0,2.0,1.0,0.0,3.0,2.0,5.0,3.0,0.0,5.0,5.0,5.0,5.0,0.0,21.8,5.4,6.2,51.12317029632275,60401.68324407039,10550
1,2015,9,20,32.08,5.0,0.0,2.0,0.0,5.0,12.333333333333336,0.0,5.0,9.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,15.14,31.83,0.0,3.0,3.0,0.0,3.0,3.0,0.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,5.0,46.97,8.666666666666666,7.0,51.12317029632275,59217.46031746032,11289
1,2016,8,6,16.46,2.0,0.0,1.0,0.0,10.0,10.0,0.0,7.0,10.0,3.75,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,4.0,4.72,12.23,3.94,1.0,1.0,4.0,1.0,1.0,4.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,2.0,20.89,3.333333333333333,5.333333333333333,51.44983582634075,66377.77253421425,5579
1,2017,2,23,21.4,0.0,0.0,0.0,0.0,10.0,8.5,0.0,5.0,7.0,3.5,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,7.459999999999999,4.09,0.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,0.0,5.0,5.0,5.0,5.0,0.0,11.55,5.4,5.2,51.12317029632275,55956.395348837206,4842
1,2017,8,23,1.09,0.0,0.0,0.0,0.0,7.0,7.0,0.0,5.4,7.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.13,0.0,0.0,5.0,1.0,1.0,5.0,1.0,1.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,0.0,2.13,6.0,5.285714285714286,51.12317029632275,58648.20056611403,1552
